Id,SalePrice
1461,131850.0
1462,144665.0
1463,185325.0
1464,189140.0
1465,196512.9
1466,187935.0
1467,171670.0
1468,170742.2
1469,180230.0
1470,118400.0
1471,191530.0
1472,90780.0
1473,88100.0
1474,152470.0
1475,118090.0
1476,456130.4
1477,272013.2
1478,321664.4
1479,290800.0
1480,474187.7
1481,291141.7
1482,199055.6
1483,181827.3
1484,164516.9
1485,167280.0
1486,218262.5
1487,329220.0
1488,268041.2
1489,217410.0
1490,205477.2
1491,189610.0
1492,85451.1
1493,191040.0
1494,308500.0
1495,300730.0
1496,192759.0
1497,185820.0
1498,154763.3
1499,154043.3
1500,165186.6
1501,170600.0
1502,140115.2
1503,266535.1
1504,225680.0
1505,209285.0
1506,163000.0
1507,218800.0
1508,189637.0
1509,157180.0
1510,135910.0
1511,143335.0
1512,150590.0
1513,145650.0
1514,162775.5
1515,205580.0
1516,144180.0
1517,154730.0
1518,124110.0
1519,217782.9
1520,133220.0
1521,142762.5
1522,152900.0
1523,119150.8
1524,125630.0
1525,110990.0
1526,122430.0
1527,114240.0
1528,136642.5
1529,147640.0
1530,179790.0
1531,121240.0
1532,100730.0
1533,137967.5
1534,131340.0
1535,137940.0
1536,117078.0
1537,78081.1
1538,182190.0
1539,270600.0
1540,136925.3
1541,157430.0
1542,152737.5
1543,206650.0
1544,72500.0
1545,102350.0
1546,123415.0
1547,132650.0
1548,130500.0
1549,107745.0
1550,137565.8
1551,117240.0
1552,169460.0
1553,151940.0
1554,123700.0
1555,163933.2
1556,98040.0
1557,108140.0
1558,71210.0
1559,128438.7
1560,113190.0
1561,141430.0
1562,120280.0
1563,114408.3
1564,141902.4
1565,150890.0
1566,199600.0
1567,70710.0
1568,211080.0
1569,170980.0
1570,145840.0
1571,145190.0
1572,145342.5
1573,244626.4
1574,116500.0
1575,186540.0
1576,200690.3
1577,198523.1
1578,160965.0
1579,141840.0
1580,192180.0
1581,144480.0
1582,117550.0
1583,300770.0
1584,229430.0
1585,134960.0
1586,83660.0
1587,121970.0
1588,148810.0
1589,113587.6
1590,123040.0
1591,109290.0
1592,124290.0
1593,110080.0
1594,164337.7
1595,127945.3
1596,229200.0
1597,178070.0
1598,213877.3
1599,167030.0
1600,178175.0
1601,83190.0
1602,110370.0
1603,103200.0
1604,254539.3
1605,228380.0
1606,171520.0
1607,176160.0
1608,205926.2
1609,203802.0
1610,174197.2
1611,149733.2
1612,183640.0
1613,174310.0
1614,112850.0
1615,82500.0
1616,78690.0
1617,83090.0
1618,121800.0
1619,126225.0
1620,194340.0
1621,153370.0
